type,ambient_temperature,battery_id,test_id,Capacity
charge,4,B0047,134,
impedance,24,B0047,135,
discharge,4,B0047,136,1.190790237
impedance,24,B0047,137,
charge,4,B0047,138,
impedance,24,B0047,139,
discharge,4,B0047,140,1.201238709
charge,4,B0047,141,
discharge,4,B0047,142,1.190690955
charge,4,B0047,143,
discharge,4,B0047,144,1.176437573
charge,4,B0047,145,
discharge,4,B0047,146,1.162811037
charge,4,B0047,147,
discharge,4,B0047,148,1.151615284
impedance,24,B0047,149,
charge,4,B0047,150,
impedance,24,B0047,151,
discharge,4,B0047,152,1.15836735
impedance,24,B0047,153,
charge,4,B0047,154,
impedance,24,B0047,155,
discharge,4,B0047,156,1.169228529
charge,4,B0047,157,
discharge,4,B0047,158,1.158814848
charge,4,B0047,159,
discharge,4,B0047,160,1.143958815
charge,4,B0047,161,
discharge,4,B0047,162,1.138394107
charge,4,B0047,163,
discharge,4,B0047,164,0
impedance,24,B0047,165,
charge,4,B0047,166,
impedance,24,B0047,167,
discharge,4,B0047,168,1.221310285
impedance,24,B0047,169,
charge,4,B0047,170,
impedance,24,B0047,171,
discharge,4,B0047,172,1.203106298
charge,4,B0047,173,
discharge,4,B0047,174,1.189714711
charge,4,B0047,175,
discharge,4,B0047,176,1.177422569
charge,4,B0047,177,
discharge,4,B0047,178,1.158443027
charge,4,B0047,179,
discharge,4,B0047,180,1.156708752
impedance,24,B0047,181,
charge,4,B0047,182,
impedance,24,B0047,183,
discharge,4,B0045,0,1.081979388
impedance,24,B0045,1,
charge,4,B0045,2,
impedance,24,B0045,3,
discharge,4,B0045,4,0.927952405
charge,4,B0045,5,
discharge,4,B0045,6,0.885193608
charge,4,B0045,7,
discharge,4,B0045,8,0.85810107
charge,4,B0045,9,
discharge,4,B0045,10,0.840935221
charge,4,B0045,11,
discharge,4,B0045,12,0.824547194
impedance,24,B0045,13,
charge,4,B0045,14,
impedance,24,B0045,15,
discharge,4,B0045,16,0.793596042
impedance,24,B0045,17,
charge,4,B0045,18,
impedance,24,B0045,19,
discharge,4,B0045,20,0.818367609
charge,4,B0045,21,
discharge,4,B0045,22,0.797764428
charge,4,B0045,23,
discharge,4,B0045,24,0.799377741
charge,4,B0045,25,
discharge,4,B0045,26,0.778310744
charge,4,B0045,27,
discharge,4,B0045,28,0.780373823
impedance,24,B0045,29,
charge,4,B0045,30,
impedance,24,B0045,31,
discharge,4,B0045,32,0.771305825
impedance,24,B0045,33,
charge,4,B0045,34,
impedance,24,B0045,35,
discharge,4,B0045,36,0.795279017
charge,4,B0045,37,
discharge,4,B0045,38,0.782412817
charge,4,B0045,39,
discharge,4,B0045,40,0.764941499
charge,4,B0045,41,
discharge,4,B0045,42,0.754489943
charge,4,B0045,43,
discharge,4,B0045,44,0.750404898
impedance,24,B0045,45,
charge,4,B0045,46,
impedance,24,B0045,47,
discharge,4,B0045,48,0.740725811
charge,4,B0045,49,
discharge,4,B0045,50,0
charge,4,B0045,51,
discharge,4,B0045,52,0.730852559
charge,4,B0045,53,
discharge,4,B0045,54,0.728725585
charge,4,B0045,55,
discharge,4,B0045,56,0.716102338
impedance,24,B0045,57,
charge,4,B0045,58,
impedance,24,B0045,59,
discharge,4,B0045,60,0.712920483
charge,4,B0045,61,
discharge,4,B0045,62,0.714199183
charge,4,B0045,63,
discharge,4,B0045,64,0.719057082
charge,4,B0045,65,
discharge,4,B0045,66,0.717397543
charge,4,B0045,67,
discharge,4,B0045,68,0.70710275
impedance,24,B0045,69,
charge,4,B0045,70,
impedance,24,B0045,71,
discharge,4,B0045,72,0.703531207
charge,4,B0045,73,
discharge,4,B0045,74,0.694110828
charge,4,B0045,75,
discharge,4,B0045,76,0.691411439
charge,4,B0045,77,
discharge,4,B0045,78,0.69715518
charge,4,B0045,79,
discharge,4,B0045,80,0.683246022
impedance,24,B0045,81,
charge,4,B0045,82,
impedance,24,B0045,83,
discharge,4,B0045,84,0.682202932
impedance,24,B0045,85,
charge,4,B0045,86,
impedance,24,B0045,87,
discharge,4,B0045,88,0.728952921
charge,4,B0045,89,
discharge,4,B0045,90,0.713932176
charge,4,B0045,91,
discharge,4,B0045,92,0.695773175
charge,4,B0045,93,
discharge,4,B0045,94,0.701831296
charge,4,B0045,95,
discharge,4,B0045,96,0.691180824
impedance,24,B0045,97,
charge,4,B0045,98,
impedance,24,B0045,99,
discharge,4,B0045,100,0.684327975
charge,4,B0045,101,
discharge,4,B0045,102,0.674139491
charge,4,B0045,103,
discharge,4,B0045,104,0.667007017
charge,4,B0045,105,
discharge,4,B0045,106,0.680408512
charge,4,B0045,107,
discharge,4,B0045,108,0.661786406
impedance,24,B0045,109,
charge,4,B0045,110,
impedance,24,B0045,111,
discharge,4,B0045,112,0.662316873
charge,4,B0045,113,
discharge,4,B0045,114,0.667935836
charge,4,B0045,115,
discharge,4,B0045,116,0.648899089
charge,4,B0045,117,
discharge,4,B0045,118,0.650363913
charge,4,B0045,119,
discharge,4,B0045,120,0.657207769
impedance,24,B0045,121,
charge,4,B0045,122,
impedance,24,B0045,123,
discharge,4,B0045,124,0.636351746
charge,4,B0045,125,
discharge,4,B0045,126,0.653644936
charge,4,B0045,127,
discharge,4,B0045,128,0.639142827
charge,4,B0045,129,
discharge,4,B0045,130,0.648220605
charge,4,B0045,131,
discharge,4,B0045,132,0.628795747
impedance,24,B0045,133,
charge,4,B0045,134,
impedance,24,B0045,135,
discharge,4,B0045,136,0.638057185
impedance,24,B0045,137,
charge,4,B0045,138,
impedance,24,B0045,139,
discharge,4,B0045,140,0.655482505
charge,4,B0045,141,
discharge,4,B0045,142,0.648493484
charge,4,B0045,143,
discharge,4,B0045,144,0.645407169
charge,4,B0045,145,
discharge,4,B0045,146,0.642700803
charge,4,B0045,147,
discharge,4,B0045,148,0.635245488
impedance,24,B0045,149,
charge,4,B0045,150,
impedance,24,B0045,151,
discharge,4,B0045,152,0.615676002
impedance,24,B0045,153,
charge,4,B0045,154,
impedance,24,B0045,155,
discharge,4,B0045,156,0.617083368
charge,4,B0045,157,
discharge,4,B0045,158,0.643422739
charge,4,B0045,159,
discharge,4,B0045,160,0.627812443
charge,4,B0045,161,
discharge,4,B0045,162,0.629007832
charge,4,B0045,163,
discharge,4,B0045,164,0
impedance,24,B0045,165,
charge,4,B0045,166,
impedance,24,B0045,167,
discharge,4,B0045,168,0.626635557
impedance,24,B0045,169,
charge,4,B0045,170,
impedance,24,B0045,171,
discharge,4,B0045,172,0.649581352
charge,4,B0045,173,
discharge,4,B0045,174,0.633748518
charge,4,B0045,175,
discharge,4,B0045,176,0.629855093
charge,4,B0045,177,
discharge,4,B0045,178,0.618306378
charge,4,B0045,179,
discharge,4,B0045,180,0.606947617
impedance,24,B0045,181,
charge,4,B0045,182,
impedance,24,B0045,183,
discharge,4,B0048,0,1.657995579
impedance,24,B0048,1,
charge,4,B0048,2,
impedance,24,B0048,3,
discharge,4,B0048,4,1.507693348
charge,4,B0048,5,
discharge,4,B0048,6,1.498922334
charge,4,B0048,7,
discharge,4,B0048,8,1.47829195
charge,4,B0048,9,
discharge,4,B0048,10,1.461856891
charge,4,B0048,11,
discharge,4,B0048,12,1.450959271
impedance,24,B0048,13,
charge,4,B0048,14,
impedance,24,B0048,15,
discharge,4,B0048,16,1.451746997
impedance,24,B0048,17,
charge,4,B0048,18,
impedance,24,B0048,19,
discharge,4,B0048,20,1.444392866
charge,4,B0048,21,
discharge,4,B0048,22,1.432738324
charge,4,B0048,23,
discharge,4,B0048,24,1.417241201
charge,4,B0048,25,
discharge,4,B0048,26,1.405755994
charge,4,B0048,27,
discharge,4,B0048,28,1.390270627
impedance,24,B0048,29,
charge,4,B0048,30,
impedance,24,B0048,31,
discharge,4,B0048,32,1.419665931
impedance,24,B0048,33,
charge,4,B0048,34,
impedance,24,B0048,35,
discharge,4,B0048,36,1.419056399
charge,4,B0048,37,
discharge,4,B0048,38,1.404272357
charge,4,B0048,39,
discharge,4,B0048,40,1.391614049
charge,4,B0048,41,
discharge,4,B0048,42,1.374961835
charge,4,B0048,43,
discharge,4,B0048,44,1.354515571
impedance,24,B0048,45,
charge,4,B0048,46,
impedance,24,B0048,47,
discharge,4,B0048,48,1.344022307
charge,4,B0048,49,
discharge,4,B0048,50,0
charge,4,B0048,51,
discharge,4,B0048,52,1.372384476
charge,4,B0048,53,
discharge,4,B0048,54,1.318410575
charge,4,B0048,55,
discharge,4,B0048,56,1.31127276
impedance,24,B0048,57,
charge,4,B0048,58,
impedance,24,B0048,59,
discharge,4,B0048,60,1.297017242
charge,4,B0048,61,
discharge,4,B0048,62,1.299521953
charge,4,B0048,63,
discharge,4,B0048,64,1.282615407
charge,4,B0048,65,
discharge,4,B0048,66,1.275289015
charge,4,B0048,67,
discharge,4,B0048,68,1.273557247
impedance,24,B0048,69,
charge,4,B0048,70,
impedance,24,B0048,71,
discharge,4,B0048,72,1.259411433
charge,4,B0048,73,
discharge,4,B0048,74,1.263163259
charge,4,B0048,75,
discharge,4,B0048,76,1.249171731
charge,4,B0048,77,
discharge,4,B0048,78,1.233984348
charge,4,B0048,79,
discharge,4,B0048,80,1.240031992
impedance,24,B0048,81,
charge,4,B0048,82,
impedance,24,B0048,83,
discharge,4,B0048,84,1.303708572
impedance,24,B0048,85,
charge,4,B0048,86,
impedance,24,B0048,87,
discharge,4,B0048,88,1.315055963
charge,4,B0048,89,
discharge,4,B0048,90,1.28887383
charge,4,B0048,91,
discharge,4,B0048,92,1.28771376
charge,4,B0048,93,
discharge,4,B0048,94,1.267337999
charge,4,B0048,95,
discharge,4,B0048,96,1.250594346
impedance,24,B0048,97,
charge,4,B0048,98,
impedance,24,B0048,99,
discharge,4,B0048,100,1.248713118
charge,4,B0048,101,
discharge,4,B0048,102,1.248002326
charge,4,B0048,103,
discharge,4,B0048,104,1.230089524
charge,4,B0048,105,
discharge,4,B0048,106,1.224419712
charge,4,B0048,107,
discharge,4,B0048,108,1.218668285
impedance,24,B0048,109,
charge,4,B0048,110,
impedance,24,B0048,111,
discharge,4,B0048,112,1.203786524
charge,4,B0048,113,
discharge,4,B0048,114,1.19476423
charge,4,B0048,115,
discharge,4,B0048,116,1.205209189
charge,4,B0048,117,
discharge,4,B0048,118,1.195574659
charge,4,B0048,119,
discharge,4,B0048,120,1.18884971
impedance,24,B0048,121,
charge,4,B0048,122,
impedance,24,B0048,123,
discharge,4,B0048,124,1.191560525
charge,4,B0048,125,
discharge,4,B0048,126,1.172658715
charge,4,B0048,127,
discharge,4,B0048,128,1.184113387
charge,4,B0048,129,
discharge,4,B0048,130,1.157682512
charge,4,B0048,131,
discharge,4,B0048,132,0
impedance,24,B0048,133,
charge,4,B0048,134,
impedance,24,B0048,135,
discharge,4,B0048,136,1.259355851
impedance,24,B0048,137,
charge,4,B0048,138,
impedance,24,B0048,139,
discharge,4,B0048,140,1.265883375
charge,4,B0048,141,
discharge,4,B0048,142,1.247259867
charge,4,B0048,143,
discharge,4,B0048,144,1.232808747
charge,4,B0048,145,
discharge,4,B0048,146,1.231959278
charge,4,B0048,147,
discharge,4,B0048,148,1.220785786
impedance,24,B0048,149,
charge,4,B0048,150,
impedance,24,B0048,151,
discharge,4,B0048,152,1.22754413
impedance,24,B0048,153,
charge,4,B0048,154,
impedance,24,B0048,155,
discharge,4,B0048,156,1.238678841
charge,4,B0048,157,
discharge,4,B0048,158,1.228357776
charge,4,B0048,159,
discharge,4,B0048,160,1.209548151
charge,4,B0048,161,
discharge,4,B0048,162,1.208214207
charge,4,B0048,163,
discharge,4,B0048,164,0
impedance,24,B0048,165,
charge,4,B0048,166,
impedance,24,B0048,167,
discharge,4,B0048,168,1.299873454
impedance,24,B0048,169,
charge,4,B0048,170,
impedance,24,B0048,171,
discharge,4,B0048,172,1.269122065
charge,4,B0048,173,
discharge,4,B0048,174,1.255514463
charge,4,B0048,175,
discharge,4,B0048,176,1.251987693
charge,4,B0048,177,
discharge,4,B0048,178,1.2374982
charge,4,B0048,179,
discharge,4,B0048,180,1.223127397
impedance,24,B0048,181,
charge,4,B0048,182,
impedance,24,B0048,183,
discharge,4,B0046,0,1.728239232
impedance,24,B0046,1,
charge,4,B0046,2,
impedance,24,B0046,3,
discharge,4,B0046,4,1.516148847
charge,4,B0046,5,
discharge,4,B0046,6,1.503121191
charge,4,B0046,7,
discharge,4,B0046,8,1.485865661
charge,4,B0046,9,
discharge,4,B0046,10,1.469456232
charge,4,B0046,11,
discharge,4,B0046,12,1.458955459
impedance,24,B0046,13,
charge,4,B0046,14,
impedance,24,B0046,15,
discharge,4,B0046,16,1.455685356
impedance,24,B0046,17,
charge,4,B0046,18,
impedance,24,B0046,19,
discharge,4,B0046,20,1.456232262
charge,4,B0046,21,
discharge,4,B0046,22,1.444059224
charge,4,B0046,23,
discharge,4,B0046,24,1.428294265
charge,4,B0046,25,
discharge,4,B0046,26,1.419984895
charge,4,B0046,27,
discharge,4,B0046,28,1.404322602
impedance,24,B0046,29,
charge,4,B0046,30,
impedance,24,B0046,31,
discharge,4,B0046,32,1.42343513
impedance,24,B0046,33,
charge,4,B0046,34,
impedance,24,B0046,35,
discharge,4,B0046,36,1.433994886
charge,4,B0046,37,
discharge,4,B0046,38,1.418517705
charge,4,B0046,39,
discharge,4,B0046,40,1.405631334
charge,4,B0046,41,
discharge,4,B0046,42,1.389021403
charge,4,B0046,43,
discharge,4,B0046,44,1.372333908
impedance,24,B0046,45,
charge,4,B0046,46,
impedance,24,B0046,47,
discharge,4,B0046,48,1.361577891
charge,4,B0046,49,
discharge,4,B0046,50,0
charge,4,B0046,51,
discharge,4,B0046,52,1.410028202
charge,4,B0046,53,
discharge,4,B0046,54,1.339567137
charge,4,B0046,55,
discharge,4,B0046,56,1.329151549
impedance,24,B0046,57,
charge,4,B0046,58,
impedance,24,B0046,59,
discharge,4,B0046,60,1.318168703
charge,4,B0046,61,
discharge,4,B0046,62,1.312423708
charge,4,B0046,63,
discharge,4,B0046,64,1.299323753
charge,4,B0046,65,
discharge,4,B0046,66,1.287748304
charge,4,B0046,67,
discharge,4,B0046,68,1.286528274
impedance,24,B0046,69,
charge,4,B0046,70,
impedance,24,B0046,71,
discharge,4,B0046,72,1.271963639
charge,4,B0046,73,
discharge,4,B0046,74,1.271449535
charge,4,B0046,75,
discharge,4,B0046,76,1.261542388
charge,4,B0046,77,
discharge,4,B0046,78,1.242120162
charge,4,B0046,79,
discharge,4,B0046,80,1.240253744
impedance,24,B0046,81,
charge,4,B0046,82,
impedance,24,B0046,83,
discharge,4,B0046,84,1.285113001
impedance,24,B0046,85,
charge,4,B0046,86,
impedance,24,B0046,87,
discharge,4,B0046,88,1.304332784
charge,4,B0046,89,
discharge,4,B0046,90,1.277863904
charge,4,B0046,91,
discharge,4,B0046,92,1.272346459
charge,4,B0046,93,
discharge,4,B0046,94,1.247788395
charge,4,B0046,95,
discharge,4,B0046,96,1.23524992
impedance,24,B0046,97,
charge,4,B0046,98,
impedance,24,B0046,99,
discharge,4,B0046,100,1.229251292
charge,4,B0046,101,
discharge,4,B0046,102,1.223890911
charge,4,B0046,103,
discharge,4,B0046,104,1.205423324
charge,4,B0046,105,
discharge,4,B0046,106,1.195782409
charge,4,B0046,107,
discharge,4,B0046,108,1.19007295
impedance,24,B0046,109,
charge,4,B0046,110,
impedance,24,B0046,111,
discharge,4,B0046,112,1.179201763
charge,4,B0046,113,
discharge,4,B0046,114,1.169504033
charge,4,B0046,115,
discharge,4,B0046,116,1.167723768
charge,4,B0046,117,
discharge,4,B0046,118,1.157925615
charge,4,B0046,119,
discharge,4,B0046,120,1.149981281
impedance,24,B0046,121,
charge,4,B0046,122,
impedance,24,B0046,123,
discharge,4,B0046,124,1.150285902
charge,4,B0046,125,
discharge,4,B0046,126,1.134945227
charge,4,B0046,127,
discharge,4,B0046,128,1.138096096
charge,4,B0046,129,
discharge,4,B0046,130,1.123711172
charge,4,B0046,131,
discharge,4,B0046,132,0
impedance,24,B0046,133,
charge,4,B0046,134,
impedance,24,B0046,135,
discharge,4,B0046,136,1.214119211
impedance,24,B0046,137,
charge,4,B0046,138,
impedance,24,B0046,139,
discharge,4,B0046,140,1.211944798
charge,4,B0046,141,
discharge,4,B0046,142,1.197124868
charge,4,B0046,143,
discharge,4,B0046,144,1.182289215
charge,4,B0046,145,
discharge,4,B0046,146,1.164533668
charge,4,B0046,147,
discharge,4,B0046,148,1.153555957
impedance,24,B0046,149,
charge,4,B0046,150,
impedance,24,B0046,151,
discharge,4,B0046,152,1.16019871
impedance,24,B0046,153,
charge,4,B0046,154,
impedance,24,B0046,155,
discharge,4,B0046,156,1.171171631
charge,4,B0046,157,
discharge,4,B0046,158,1.156341027
charge,4,B0046,159,
discharge,4,B0046,160,1.141082456
charge,4,B0046,161,
discharge,4,B0046,162,1.13523836
charge,4,B0046,163,
discharge,4,B0046,164,0
impedance,24,B0046,165,
charge,4,B0046,166,
impedance,24,B0046,167,
discharge,4,B0046,168,1.253084786
impedance,24,B0046,169,
charge,4,B0046,170,
impedance,24,B0046,171,
discharge,4,B0046,172,1.205045359
charge,4,B0046,173,
discharge,4,B0046,174,1.191198602
charge,4,B0046,175,
discharge,4,B0046,176,1.174638174
charge,4,B0046,177,
discharge,4,B0046,178,1.155543205
charge,4,B0046,179,
discharge,4,B0046,180,1.153804117
impedance,24,B0046,181,
charge,4,B0046,182,
impedance,24,B0046,183,
charge,22,B0043,0,
impedance,24,B0043,1,
discharge,22,B0043,2,1.713782642
charge,22,B0043,3,
discharge,22,B0043,4,1.695568166
charge,22,B0043,5,
discharge,22,B0043,6,1.681490637
charge,22,B0043,7,
discharge,22,B0043,8,1.678637241
charge,22,B0043,9,
discharge,22,B0043,10,1.669416855
impedance,24,B0043,11,
charge,22,B0043,12,
impedance,24,B0043,13,
discharge,22,B0043,14,0
charge,22,B0043,15,
discharge,22,B0043,16,1.661193852
charge,22,B0043,17,
discharge,22,B0043,18,1.650642338
charge,22,B0043,19,
discharge,22,B0043,20,1.642427319
charge,22,B0043,21,
discharge,22,B0043,22,1.63536648
impedance,24,B0043,23,
charge,22,B0043,24,
impedance,24,B0043,25,
discharge,22,B0043,26,1.633232876
charge,22,B0043,27,
discharge,22,B0043,28,1.625884055
charge,22,B0043,29,
discharge,22,B0043,30,1.617976175
charge,22,B0043,31,
discharge,22,B0043,32,1.613665271
charge,22,B0043,33,
discharge,22,B0043,34,1.605821027
impedance,24,B0043,35,
charge,22,B0043,36,
impedance,24,B0043,37,
discharge,22,B0043,38,1.603352796
charge,22,B0043,39,
discharge,22,B0043,40,1.595134241
charge,22,B0043,41,
discharge,22,B0043,42,1.587813554
charge,22,B0043,43,
discharge,22,B0043,44,1.580060197
charge,22,B0043,45,
discharge,22,B0043,46,1.575565088
impedance,24,B0043,47,
charge,22,B0043,48,
impedance,24,B0043,49,
discharge,22,B0043,50,1.595016901
impedance,24,B0043,51,
charge,22,B0043,52,
impedance,24,B0043,53,
discharge,22,B0043,54,1.589807552
charge,22,B0043,55,
discharge,22,B0043,56,1.58079532
charge,22,B0043,57,
discharge,22,B0043,58,1.570433329
charge,22,B0043,59,
discharge,22,B0043,60,1.564336843
charge,22,B0043,61,
discharge,22,B0043,62,1.558307018
impedance,24,B0043,63,
charge,22,B0043,64,
impedance,24,B0043,65,
discharge,22,B0043,66,1.553714929
charge,22,B0043,67,
discharge,22,B0043,68,1.549528251
charge,22,B0043,69,
discharge,22,B0043,70,1.542443054
charge,22,B0043,71,
discharge,22,B0043,72,1.54256227
charge,22,B0043,73,
discharge,22,B0043,74,1.530935645
impedance,24,B0043,75,
charge,22,B0043,76,
impedance,24,B0043,77,
discharge,22,B0043,78,1.524773318
charge,22,B0043,79,
discharge,22,B0043,80,1.519674241
charge,22,B0043,81,
discharge,22,B0043,82,1.512369693
charge,22,B0043,83,
discharge,22,B0043,84,1.499914486
charge,22,B0043,85,
discharge,22,B0043,86,1.492410627
impedance,24,B0043,87,
charge,22,B0043,88,
impedance,24,B0043,89,
discharge,22,B0043,90,1.492624988
charge,22,B0043,91,
discharge,22,B0043,92,1.492402402
charge,22,B0043,93,
discharge,22,B0043,94,1.48530202
charge,22,B0043,95,
discharge,22,B0043,96,1.477208127
charge,22,B0043,97,
discharge,22,B0043,98,1.469473853
impedance,24,B0043,99,
charge,22,B0043,100,
impedance,24,B0043,101,
discharge,4,B0043,102,0.057034391
impedance,24,B0043,103,
charge,4,B0043,104,
impedance,24,B0043,105,
discharge,4,B0043,106,0.057153633
charge,4,B0043,107,
discharge,4,B0043,108,0.05729366
charge,4,B0043,109,
discharge,4,B0043,110,0.057442032
charge,4,B0043,111,
discharge,4,B0043,112,0.067130621
charge,4,B0043,113,
impedance,24,B0043,114,
discharge,4,B0043,115,0.067147819
charge,4,B0043,116,
discharge,4,B0043,117,0.067320012
charge,4,B0043,118,
discharge,4,B0043,119,0.067840381
charge,4,B0043,120,
discharge,4,B0043,121,0.067996049
charge,4,B0043,122,
discharge,4,B0043,123,0.068280111
impedance,24,B0043,124,
charge,4,B0043,125,
impedance,24,B0043,126,
discharge,4,B0043,127,0.068446329
charge,4,B0043,128,
discharge,4,B0043,129,0.068513619
charge,4,B0043,130,
discharge,4,B0043,131,0.068874024
charge,4,B0043,132,
discharge,4,B0043,133,0.056544389
charge,4,B0043,134,
discharge,4,B0043,135,0.069183532
impedance,24,B0043,136,
charge,4,B0043,137,
impedance,24,B0043,138,
discharge,4,B0043,139,0.059122086
charge,4,B0043,140,
discharge,4,B0043,141,0.069561201
charge,4,B0043,142,
discharge,4,B0043,143,0.070178978
charge,4,B0043,144,
discharge,4,B0043,145,0.070281482
charge,4,B0043,146,
discharge,4,B0043,147,0.057873642
impedance,24,B0043,148,
charge,4,B0043,149,
impedance,24,B0043,150,
discharge,4,B0043,151,0.070566186
charge,4,B0043,152,
discharge,4,B0043,153,0.05798941
charge,4,B0043,154,
discharge,4,B0043,155,0.071292664
charge,4,B0043,156,
discharge,4,B0043,157,0.071465466
charge,4,B0043,158,
discharge,4,B0043,159,0.071625497
impedance,24,B0043,160,
charge,4,B0043,161,
impedance,24,B0043,162,
discharge,4,B0043,163,0.071925964
impedance,24,B0043,164,
charge,4,B0043,165,
impedance,24,B0043,166,
discharge,4,B0043,167,0.058840095
charge,4,B0043,168,
discharge,4,B0043,169,0.072138535
charge,4,B0043,170,
discharge,4,B0043,171,0.072318357
charge,4,B0043,172,
discharge,4,B0043,173,0.059381706
charge,4,B0043,174,
discharge,4,B0043,175,0.072944885
impedance,24,B0043,176,
charge,4,B0043,177,
impedance,24,B0043,178,
discharge,4,B0043,179,0.073069177
charge,4,B0043,180,
discharge,4,B0043,181,0.073170541
charge,4,B0043,182,
discharge,4,B0043,183,0.073474303
charge,4,B0043,184,
discharge,4,B0043,185,0.060106976
charge,4,B0043,186,
discharge,4,B0043,187,0.073831625
impedance,24,B0043,188,
charge,4,B0043,189,
impedance,24,B0043,190,
discharge,4,B0043,191,0.060495215
charge,4,B0043,192,
discharge,4,B0043,193,0.06060401
charge,4,B0043,194,
discharge,4,B0043,195,0.060734384
charge,4,B0043,196,
discharge,4,B0043,197,0.06099653
charge,4,B0043,198,
discharge,4,B0043,199,0.061130459
impedance,24,B0043,200,
charge,4,B0043,201,
impedance,24,B0043,202,
discharge,4,B0043,203,0.061291244
charge,4,B0043,204,
discharge,4,B0043,205,0.061303291
charge,4,B0043,206,
discharge,4,B0043,207,0.061151662
charge,4,B0043,208,
discharge,4,B0043,209,0.061405387
charge,4,B0043,210,
discharge,4,B0043,211,0.061757808
impedance,24,B0043,212,
charge,4,B0043,213,
impedance,24,B0043,214,
discharge,4,B0043,215,1.525084052
impedance,24,B0043,216,
charge,4,B0043,217,
impedance,24,B0043,218,
discharge,4,B0043,219,1.552568811
charge,4,B0043,220,
discharge,4,B0043,221,1.542775263
charge,4,B0043,222,
discharge,4,B0043,223,1.533193283
